ticker,date,sec_accession_number,source_url
NVDA,2018-08-16,0001045810-18-000113,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000113/form8-kq2fy19.htm
NVDA,2018-11-15,0001045810-18-000148,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000148/form8-kq3fy19.htm
NVDA,2019-02-14,0001045810-19-000007,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000007/form8-kq4fy19.htm
NVDA,2019-05-16,0001045810-19-000077,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000077/form8-kq1fy20.htm
NVDA,2019-08-15,0001045810-19-000140,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000140/form8-kq2fy20.htm
NVDA,2019-11-14,0001045810-19-000168,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000168/form8-kq3fy20.htm
NVDA,2020-02-13,0001045810-20-000007,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000007/form8-kq4fy20.htm
NVDA,2020-05-21,0001045810-20-000063,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000063/nvda-20200521.htm
NVDA,2020-08-19,0001045810-20-000145,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000145/nvda-20200819.htm
NVDA,2020-11-18,0001045810-20-000187,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000187/nvda-20201118.htm
NVDA,2021-02-24,0001045810-21-000007,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000007/nvda-20210224.htm
NVDA,2021-05-26,0001045810-21-000063,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000063/nvda-20210526.htm
NVDA,2021-08-18,0001045810-21-000128,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000128/nvda-20210818.htm
NVDA,2021-11-17,0001045810-21-000160,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000160/nvda-20211117.htm
NVDA,2022-02-16,0001045810-22-000008,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000008/nvda-20220216.htm
NVDA,2022-05-25,0001045810-22-000073,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000073/nvda-20220525.htm
NVDA,2022-08-24,0001045810-22-000136,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000136/nvda-20220824.htm
NVDA,2022-11-16,0001045810-22-000163,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000163/nvda-20221116.htm
NVDA,2023-02-22,0001045810-23-000014,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000014/nvda-20230222.htm
NVDA,2023-05-24,0001045810-23-000087,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000087/nvda-20230524.htm
NVDA,2023-08-23,0001045810-23-000171,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000171/nvda-20230823.htm
NVDA,2023-11-21,0001045810-23-000225,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000225/nvda-20231121.htm
NVDA,2024-02-21,0001045810-24-000028,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000028/nvda-20240221.htm
NVDA,2024-05-22,0001045810-24-000113,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000113/nvda-20240522.htm
NVDA,2024-08-28,0001045810-24-000262,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000262/nvda-20240828.htm
NVDA,2024-11-20,0001045810-24-000315,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000315/nvda-20241120.htm
NVDA,2025-02-26,0001045810-25-000021,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000021/nvda-20250226.htm
NVDA,2025-05-28,0001045810-25-000115,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000115/nvda-20250528.htm
NVDA,2025-08-27,0001045810-25-000207,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000207/nvda-20250827.htm
NVDA,2025-11-19,0001045810-25-000228,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000228/nvda-20251119.htm
NVDA,2026-02-25,0001045810-26-000019,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000019/nvda-20260225.htm
NVDA,2026-05-20,0001045810-26-000051,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000051/nvda-20260520.htm
AMD,2018-01-30,0000002488-18-000014,https://www.sec.gov/Archives/edgar/data/2488/000000248818000014/a20180130q417earnings8-k.htm
AMD,2018-04-25,0000002488-18-000058,https://www.sec.gov/Archives/edgar/data/2488/000000248818000058/a20180425q118earnings8-k.htm
AMD,2018-07-25,0000002488-18-000124,https://www.sec.gov/Archives/edgar/data/2488/000000248818000124/a20180725q218earnings8-k.htm
AMD,2018-10-24,0000002488-18-000186,https://www.sec.gov/Archives/edgar/data/2488/000000248818000186/a20181024q318earnings8-k.htm
AMD,2019-01-29,0000002488-19-000004,https://www.sec.gov/Archives/edgar/data/2488/000000248819000004/a20190129q418earnings8-k.htm
AMD,2019-04-30,0000002488-19-000043,https://www.sec.gov/Archives/edgar/data/2488/000000248819000043/a20190430q119earnings8-k.htm
AMD,2019-07-30,0000002488-19-000102,https://www.sec.gov/Archives/edgar/data/2488/000000248819000102/a20190730q219earnings8-k.htm
AMD,2019-10-29,0000002488-19-000157,https://www.sec.gov/Archives/edgar/data/2488/000000248819000157/a20191029q319earnings8.htm
AMD,2020-01-28,0000002488-20-000006,https://www.sec.gov/Archives/edgar/data/2488/000000248820000006/a20200128q419earnings8.htm
AMD,2020-04-28,0000002488-20-000048,https://www.sec.gov/Archives/edgar/data/2488/000000248820000048/a2020q1earnings8-k.htm
AMD,2020-07-28,0000002488-20-000101,https://www.sec.gov/Archives/edgar/data/2488/000000248820000101/amd-20200728.htm
AMD,2020-10-27,0000002488-20-000161,https://www.sec.gov/Archives/edgar/data/2488/000000248820000161/amd-20201027.htm
AMD,2021-01-26,0000002488-21-000009,https://www.sec.gov/Archives/edgar/data/2488/000000248821000009/amd-20210126.htm
