date,source_url,filing_type,is_earnings,reviewer_note
2018-01-23,https://www.sec.gov/Archives/edgar/data/1318605/000119312518016648/d500497d8k.htm,8-K,FALSE,"verified: Item 8.01, CEO performance award press release, unrelated to earnings (checked this session)"
2018-02-07,https://www.sec.gov/Archives/edgar/data/1318605/000156459018001521/tsla-8k_20180207.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2018-02-08,https://www.sec.gov/Archives/edgar/data/1318605/000156459018001693/tsla-8k_20180202.htm,8-K,FALSE,"UNCERTAIN - not individually verified, inferred FALSE (near a confirmed earnings date, likely delivery-numbers/offering/other 8-K) - spot-check before trusting"
2018-02-09,https://www.sec.gov/Archives/edgar/data/1318605/000156459018001786/tsla-8k_20180209.htm,8-K,FALSE,"UNCERTAIN - not individually verified, inferred FALSE (near a confirmed earnings date, likely delivery-numbers/offering/other 8-K) - spot-check before trusting"
2018-05-02,https://www.sec.gov/Archives/edgar/data/1318605/000156459018010306/tsla-8k_20180502.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2018-07-30,https://www.sec.gov/Archives/edgar/data/1318605/000156459018017908/tsla-8k_20180730.htm,8-K,FALSE,"UNCERTAIN - not individually verified, inferred FALSE (near a confirmed earnings date, likely delivery-numbers/offering/other 8-K) - spot-check before trusting"
2018-08-01,https://www.sec.gov/Archives/edgar/data/1318605/000156459018018490/tsla-8k_20180801.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2018-10-17,https://www.sec.gov/Archives/edgar/data/1318605/000156459018024373/tsla-8k_20181016.htm,8-K,FALSE,"UNCERTAIN - not individually verified, inferred FALSE (near a confirmed earnings date, likely delivery-numbers/offering/other 8-K) - spot-check before trusting"
2018-10-24,https://www.sec.gov/Archives/edgar/data/1318605/000156459018024902/tsla-8k_20181024.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2019-01-18,https://www.sec.gov/Archives/edgar/data/1318605/000156459019000740/tsla-8k_20190118.htm,8-K,FALSE,"UNCERTAIN - not individually verified, inferred FALSE (near a confirmed earnings date, likely delivery-numbers/offering/other 8-K) - spot-check before trusting"
2019-01-30,https://www.sec.gov/Archives/edgar/data/1318605/000156459019001399/tsla-8k_20190130.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2019-02-01,https://www.sec.gov/Archives/edgar/data/1318605/000156459019001597/tsla-8k_20190129.htm,8-K,FALSE,"UNCERTAIN - not individually verified, inferred FALSE (near a confirmed earnings date, likely delivery-numbers/offering/other 8-K) - spot-check before trusting"
2019-04-19,https://www.sec.gov/Archives/edgar/data/1318605/000156459019012122/tsla-8k_20190418.htm,8-K,FALSE,"verified: Item 8.01, unrelated to earnings (checked this session)"
2019-04-24,https://www.sec.gov/Archives/edgar/data/1318605/000156459019012758/tsla-8k_20190424.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2019-05-03,https://www.sec.gov/Archives/edgar/data/1318605/000119312519135910/d730491d8k.htm,8-K,FALSE,"verified: Item 8.01, unrelated to earnings (checked this session)"
2019-05-08,https://www.sec.gov/Archives/edgar/data/1318605/000156459019016764/tsla-8k_20190503.htm,8-K,FALSE,"UNCERTAIN - not individually verified, inferred FALSE (near a confirmed earnings date, likely delivery-numbers/offering/other 8-K) - spot-check before trusting"
2019-07-24,https://www.sec.gov/Archives/edgar/data/1318605/000156459019025855/tsla-8k_20190724.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2019-10-23,https://www.sec.gov/Archives/edgar/data/1318605/000156459019037581/tsla-8k_20191023.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2020-01-29,https://www.sec.gov/Archives/edgar/data/1318605/000156459020002489/tsla-8k_20200129.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2020-04-23,https://www.sec.gov/Archives/edgar/data/1318605/000156459020018196/tsla-8k_20200423.htm,8-K,FALSE,"UNCERTAIN - not individually verified, inferred FALSE (near a confirmed earnings date, likely delivery-numbers/offering/other 8-K) - spot-check before trusting"
2020-04-29,https://www.sec.gov/Archives/edgar/data/1318605/000156459020019776/tsla-8k_20200429.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2020-05-06,https://www.sec.gov/Archives/edgar/data/1318605/000156459020022062/tsla-8k_20200430.htm,8-K,FALSE,"UNCERTAIN - not individually verified, inferred FALSE (near a confirmed earnings date, likely delivery-numbers/offering/other 8-K) - spot-check before trusting"
2020-05-08,https://www.sec.gov/Archives/edgar/data/1318605/000156459020023655/tsla-8k_20200507.htm,8-K,FALSE,"UNCERTAIN - not individually verified, inferred FALSE (near a confirmed earnings date, likely delivery-numbers/offering/other 8-K) - spot-check before trusting"
2020-07-22,https://www.sec.gov/Archives/edgar/data/1318605/000156459020033069/tsla-8k_20200722.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2020-10-21,https://www.sec.gov/Archives/edgar/data/1318605/000156459020047108/tsla-8k_20201021.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2021-01-27,https://www.sec.gov/Archives/edgar/data/1318605/000156459021002645/tsla-8k_20210127.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2021-04-26,https://www.sec.gov/Archives/edgar/data/1318605/000156459021020558/tsla-8k_20210426.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2021-07-26,https://www.sec.gov/Archives/edgar/data/1318605/000156459021037953/tsla-8k_20210726.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2021-10-20,https://www.sec.gov/Archives/edgar/data/1318605/000156459021051307/tsla-8k_20211020.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2022-01-26,https://www.sec.gov/Archives/edgar/data/1318605/000156459022002476/tsla-8k_20220126.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2022-04-20,https://www.sec.gov/Archives/edgar/data/1318605/000156459022014917/tsla-8k_20220420.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2022-05-03,https://www.sec.gov/Archives/edgar/data/1318605/000156459022017214/tsla-8k_20220502.htm,8-K,FALSE,"UNCERTAIN - not individually verified, inferred FALSE (near a confirmed earnings date, likely delivery-numbers/offering/other 8-K) - spot-check before trusting"
2022-07-20,https://www.sec.gov/Archives/edgar/data/1318605/000156459022026048/tsla-8k_20220720.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2022-08-05,https://www.sec.gov/Archives/edgar/data/1318605/000156459022028207/tsla-8k_20220804.htm,8-K,FALSE,"UNCERTAIN - not individually verified, inferred FALSE (near a confirmed earnings date, likely delivery-numbers/offering/other 8-K) - spot-check before trusting"
2022-10-19,https://www.sec.gov/Archives/edgar/data/1318605/000156459022034639/tsla-8k_20221019.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2023-01-25,https://www.sec.gov/Archives/edgar/data/1318605/000156459023000799/tsla-8k_20230120.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2023-04-19,https://www.sec.gov/Archives/edgar/data/1318605/000156459023005959/tsla-8k_20230419.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2023-07-19,https://www.sec.gov/Archives/edgar/data/1318605/000095017023033544/tsla-20230719.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2023-07-20,https://www.sec.gov/Archives/edgar/data/1318605/000095017023033695/tsla-20230719.htm,8-K,FALSE,"UNCERTAIN - not individually verified, inferred FALSE (near a confirmed earnings date, likely delivery-numbers/offering/other 8-K) - spot-check before trusting"
2023-08-07,https://www.sec.gov/Archives/edgar/data/1318605/000095017023038779/tsla-20230804.htm,8-K,FALSE,"UNCERTAIN - not individually verified, inferred FALSE (near a confirmed earnings date, likely delivery-numbers/offering/other 8-K) - spot-check before trusting"
2023-10-18,https://www.sec.gov/Archives/edgar/data/1318605/000162828023034588/tsla-20231018.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2024-01-24,https://www.sec.gov/Archives/edgar/data/1318605/000095017024007073/tsla-20240124.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2024-04-16,https://www.sec.gov/Archives/edgar/data/1318605/000095017024044588/tsla-20240414.htm,8-K,FALSE,"UNCERTAIN - not individually verified, inferred FALSE (near a confirmed earnings date, likely delivery-numbers/offering/other 8-K) - spot-check before trusting"
2024-04-23,https://www.sec.gov/Archives/edgar/data/1318605/000095017024046895/tsla-20240423.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2024-07-23,https://www.sec.gov/Archives/edgar/data/1318605/000162828024032603/tsla-20240723.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2024-10-23,https://www.sec.gov/Archives/edgar/data/1318605/000162828024043432/tsla-20241023.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2025-01-29,https://www.sec.gov/Archives/edgar/data/1318605/000162828025002993/tsla-20250129.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2025-04-22,https://www.sec.gov/Archives/edgar/data/1318605/000162828025018851/tsla-20250422.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2025-07-23,https://www.sec.gov/Archives/edgar/data/1318605/000162828025035738/tsla-20250723.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2025-08-04,https://www.sec.gov/Archives/edgar/data/1318605/000110465925073263/tm2522385d1_8k.htm,8-K,FALSE,"UNCERTAIN - not individually verified, inferred FALSE (near a confirmed earnings date, likely delivery-numbers/offering/other 8-K) - spot-check before trusting"
2025-10-22,https://www.sec.gov/Archives/edgar/data/1318605/000162828025045861/tsla-20251022.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2026-01-28,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003837/tsla-20260128.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2026-04-22,https://www.sec.gov/Archives/edgar/data/1318605/000162828026026551/tsla-20260422.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
2026-07-22,https://www.sec.gov/Archives/edgar/data/1318605/000162828026049213/tsla-20260722.htm,8-K,TRUE,matches alphaquery-confirmed TSLA earnings announcement date
