ticker,experiment,fold_id,train_end_row,test_start_row,test_end_row,train_end_date,test_start_date,test_end_date,n_rows_total
NVDA,rolling_origin_tournament_and_bridge,0,978,978,1134,2022-01-28,2022-01-31,2022-09-13,1956
NVDA,rolling_origin_tournament_and_bridge,1,1134,1134,1290,2022-09-13,2022-09-14,2023-04-27,1956
NVDA,rolling_origin_tournament_and_bridge,2,1290,1290,1446,2023-04-27,2023-04-28,2023-12-08,1956
NVDA,rolling_origin_tournament_and_bridge,3,1446,1446,1602,2023-12-08,2023-12-11,2024-07-25,1956
NVDA,rolling_origin_tournament_and_bridge,4,1602,1602,1758,2024-07-25,2024-07-26,2025-03-11,1956
NVDA,retraining_single_window,0,1556,1556,1956,2024-05-17,2024-05-20,2025-12-22,1956
NVDA,retraining_multi_window,0,579,579,879,2020-06-30,2020-07-01,2021-09-08,1956
NVDA,retraining_multi_window,1,993,993,1293,2022-02-18,2022-02-22,2023-05-02,1956
NVDA,retraining_multi_window,2,1407,1407,1707,2023-10-13,2023-10-16,2024-12-23,1956
AMD,rolling_origin_tournament_and_bridge,0,978,978,1134,2022-01-28,2022-01-31,2022-09-13,1956
AMD,rolling_origin_tournament_and_bridge,1,1134,1134,1290,2022-09-13,2022-09-14,2023-04-27,1956
AMD,rolling_origin_tournament_and_bridge,2,1290,1290,1446,2023-04-27,2023-04-28,2023-12-08,1956
AMD,rolling_origin_tournament_and_bridge,3,1446,1446,1602,2023-12-08,2023-12-11,2024-07-25,1956
AMD,rolling_origin_tournament_and_bridge,4,1602,1602,1758,2024-07-25,2024-07-26,2025-03-11,1956
AMD,retraining_single_window,0,1556,1556,1956,2024-05-17,2024-05-20,2025-12-22,1956
AMD,retraining_multi_window,0,579,579,879,2020-06-30,2020-07-01,2021-09-08,1956
AMD,retraining_multi_window,1,993,993,1293,2022-02-18,2022-02-22,2023-05-02,1956
AMD,retraining_multi_window,2,1407,1407,1707,2023-10-13,2023-10-16,2024-12-23,1956
TSLA,rolling_origin_tournament_and_bridge,0,978,978,1134,2022-01-28,2022-01-31,2022-09-13,1956
TSLA,rolling_origin_tournament_and_bridge,1,1134,1134,1290,2022-09-13,2022-09-14,2023-04-27,1956
TSLA,rolling_origin_tournament_and_bridge,2,1290,1290,1446,2023-04-27,2023-04-28,2023-12-08,1956
TSLA,rolling_origin_tournament_and_bridge,3,1446,1446,1602,2023-12-08,2023-12-11,2024-07-25,1956
TSLA,rolling_origin_tournament_and_bridge,4,1602,1602,1758,2024-07-25,2024-07-26,2025-03-11,1956
TSLA,retraining_single_window,0,1556,1556,1956,2024-05-17,2024-05-20,2025-12-22,1956
TSLA,retraining_multi_window,0,579,579,879,2020-06-30,2020-07-01,2021-09-08,1956
TSLA,retraining_multi_window,1,993,993,1293,2022-02-18,2022-02-22,2023-05-02,1956
TSLA,retraining_multi_window,2,1407,1407,1707,2023-10-13,2023-10-16,2024-12-23,1956
